x,psi0,psi1,psi2
1.05528e-10,-0.0984106,0.0321561,-0.0879035
1.15578e-10,-0.0981439,0.0350917,-0.0855968
1.25628e-10,-0.0978532,0.0379929,-0.0831019
1.35678e-10,-0.0975386,0.040857,-0.0804244
1.45729e-10,-0.0972002,0.0436812,-0.0775701
1.55779e-10,-0.096838,0.0464627,-0.0745452
1.65829e-10,-0.0964521,0.0491988,-0.0713565
1.75879e-10,-0.0960427,0.0518869,-0.068011
1.8593e-10,-0.0956099,0.0545242,-0.0645159
1.9598e-10,-0.0951537,0.0571083,-0.060879
2.0603e-10,-0.0946742,0.0596366,-0.0571083
2.1608e-10,-0.0941716,0.0621066,-0.0532121
2.26131e-10,-0.093646,0.0645159,-0.0491988
2.36181e-10,-0.0930976,0.0668622,-0.0450775
2.46231e-10,-0.0925263,0.0691431,-0.040857
2.56281e-10,-0.0919325,0.0713565,-0.0365468
2.66332e-10,-0.0913163,0.0735002,-0.0321561
2.76382e-10,-0.0906777,0.0755721,-0.0276948
2.86432e-10,-0.0900169,0.0775701,-0.0231727
2.96482e-10,-0.0893342,0.0794923,-0.0185996
3.06533e-10,-0.0886297,0.0813368,-0.0139856
3.16583e-10,-0.0879035,0.0831019,-0.00934083
3.26633e-10,-0.0871558,0.0847858,-0.00467555
3.36683e-10,-0.0863868,0.0863868,-6.70713e-14
3.46734e-10,-0.0855968,0.0879035,0.00467555
3.56784e-10,-0.0847858,0.0893342,0.00934083
3.66834e-10,-0.0839541,0.0906777,0.0139856
3.76884e-10,-0.0831019,0.0919325,0.0185996
3.86935e-10,-0.0822294,0.0930976,0.0231727
3.96985e-10,-0.0813368,0.0941716,0.0276948
4.07035e-10,-0.0804244,0.0951537,0.0321561
4.17085e-10,-0.0794923,0.0960427,0.0365468
4.27136e-10,-0.0785408,0.096838,0.040857
4.37186e-10,-0.0775701,0.0975386,0.0450775
4.47236e-10,-0.0765804,0.0981439,0.0491988
4.57286e-10,-0.0755721,0.0986533,0.0532121
